['44 ', 'Autoescuelas El Pilar  ', 'De Lunes a Viernes ', ' ', '09:30 a 14:00 ', ' ', '16:00 a 22:00 ', ' ', '0 ', '1 ', '2014-10-27 14:23:53 ', '2014-10-27 14:23:58 '],
['45 ', 'Universidad Pontificia de Salamanca  ', 'De Lunes a Viernes ', ' ', '08:00 a 22:00 ', ' ', ' ', ' ', '12 ', '1 ', '2014-10-27 14:42:18 ', '2014-10-27 14:42:18 '],
['46 ', 'AEUS  ', 'De Lunes a Viernes ', ' ', '10:00 a 20:00 ', ' ', 'Cita previa ', ' ', '0 ', '1 ', '2014-10-27 14:53:05 ', '2014-10-27 14:53:05 '],
['47 ', 'Asociación de Jóvenes Empresarios de Salamanca  ', 'De Lunes a Viernes ', ' ', '09:00 a 14:00 ', ' ', '16:00 a 19:00 ', ' ', '0 ', '1 ', '2014-10-27 15:09:48 ', '2014-10-27 15:09:48 '],
['48 ', 'Jabuba Films  ', 'De Lunes a Viernes ', ' ', '10:00 a 14:00 ', ' ', '16:00 a 20:00 ', ' ', '0 ', '1 ', '2014-10-27 15:15:09 ', '2014-10-27 15:15:09 '],
['49 ', 'Monumenta Salmanticae  ', 'De Martes a Sábado ', ' ', '10:00 a 14:00 ', ' ', '16:30 a 18:00 ', ' ', '14 ', '1 ', '2014-10-27 15:30:42 ', '2014-10-27 15:30:42 '],
['50 ', 'Monumenta Salmanticae  ', 'Domingos y Festivos ', ' ', '10:00 a 14:00 ', ' ', ' ', ' ', '4 ', '1 ', '2014-10-27 15:31:22 ', '2014-10-27 15:31:22 '],
['51 ', 'Convento de San Esteban  ', 'Miércoles y Viernes ', ' ', '17:00 ', ' ', 'Entrada con Invitación ', ' ', '10 ', '1 ', '2014-10-27 15:38:21 ', '2014-10-27 15:38:21 '],
['52 ', 'Convento de San Esteban  ', 'Sábados ', ' ', '17:00 ', ' ', 'Entrada con Invitación ', ' ', '3 ', '1 ', '2014-10-27 15:38:47 ', '2014-10-27 15:38:47 '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
['55 ', 'Palacio de Monterrey  ', 'Viernes ', ' ', '10:30 ', ' ', '12:30 ', ' ', '0 ', '1 ', '2014-10-27 16:33:19 ', '2014-10-27 16:33:19 '],
['56 ', 'Biblioteca de la Universidad  ', 'Martes ', ' ', '18:00 ', ' ', ' ', ' ', '9 ', '1 ', '2014-10-27 16:39:55 ', '2014-10-27 16:39:55 '],
['57 ', 'Biblioteca de la Universidad  ', 'Miércoles ', ' ', '13:00 ', ' ', ' ', ' ', '5 ', '1 ', '2014-10-27 16:40:17 ', '2014-10-27 16:40:17 '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
['60 ', 'Filmoteca Regional  ', 'Lunes ', ' ', '17:00 ', ' ', ' ', ' ', '6 ', '1 ', '2014-10-27 16:49:29 ', '2014-10-27 16:49:29 '],
['61 ', 'Filmoteca Regional  ', 'Jueves ', ' ', '12:30 ', ' ', ' ', ' ', '3 ', '1 ', '2014-10-27 16:49:50 ', '2014-10-27 16:49:50 '],
['62 ', 'Santo Tomás Cantuariense  ', 'Sábados ', ' ', '17:00 a 20:00 ', ' ', ' ', ' ', '7 ', '1 ', '2014-10-27 16:55:13 ', '2014-10-27 16:55:13 '],
['63 ', 'Santo Tomás Cantuariense  ', 'Domingo ', ' ', '12:00 a 14:00 ', ' ', ' ', ' ', '5 ', '1 ', '2014-10-27 16:55:40 ', '2014-10-27 16:55:40 '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
['66 ', 'Casa Museo Unamuno  ', 'Viernes ', ' ', '18:00 ', ' ', ' ', ' ', '10 ', '1 ', '2014-10-27 17:08:29 ', '2014-10-27 17:08:29 '],
